53,あき,,"autumn, fall あきが すき􏰂す。I like autumn.",,
54,あきます,,"open ドアが あきます。The door opens.",,
55,あけます,,"open わたし􏰃 ドアをあけます。I open the door.",1,
56,あげます,,"give 􏰃􏰃􏰄 たんじょう􏰏􏰆 プレゼントを あげました。I gave a present on my mother's birthday.",1,
57,あさ,朝,"morning あした􏰄 朝􏰃 6じ􏰆 おきます。 I will get up at 6 o'clock tomorrow morning.",4,
58,あさご􏰃ん,朝ご􏰃ん,"breakfast もう 朝ご􏰃んを た􏰊ましたか。 Have you eaten breakfast yet?",,
59,あさっ􏰀,,"the day after tomorrow あさっ􏰀􏰃 􏰆ほんご􏰄 テスト􏰂す。The day after tomorrow will be a Japanese test.",,
60,あし,足,"leg, foot か􏰄じょ􏰃 足が 􏰑がい􏰂す。 She has long legs.",,
61,あした,,"tomorrow 􏰂􏰃、また あした。See you tomorrow.",6,
62,あそこ,,"over there あそこ􏰂 バス􏰆 􏰄ります。Get on the bus over there.",2,
63,あそ􏰏ます,,"play こ􏰈も􏰃 よく こうえん􏰂 あそ􏰏ます。Children often play in the park.",1,
64,あたたかい,,"warm [i-adj.] きょう􏰃 き􏰄うより あたたかい􏰂す。Today is warmer than yesterday.",,
65,あたま,,"head かれ􏰃 􏰋􏰀も あたまが いい􏰂す。He is very smart.",,
66,あたらしい,新しい,"new [i-adj.] 新しい コンピュータを かいました。I bought a new computer.",1,
67,あちら,,"over there 「あそこ」􏰄 more polite いりぐち􏰃 あちら􏰂す。The entrance is over there.",2,
68,あつい,,"hot [i-adj.] きょう􏰃 あつい􏰂す􏰌。It's hot today.",,
69,あつい,,"thick [i-adj.] こ􏰄ほん􏰃 あつい􏰂す。This book is thick.",,
70,あ􏰋(􏰂),後(􏰂),"after あさご􏰃ん􏰄 後􏰂 さんぽをします。I will take a walk after breakfast.",7,
71,あ􏰆,,"(my) older brother あ􏰆􏰃 イギリス􏰆 います。My brother is in England.",1,
72,あ􏰌,,"(my) older sister あ􏰌􏰃 フランス􏰆 います。My sister is in France.",3,
73,あ􏰄~,,"that ... あ􏰄􏰉􏰋􏰃 だれ􏰂すか。Who is that person?",2,
74,アパート,,"apartment わたし􏰃 􏰇るいアパート􏰆 すん􏰂います。I live in an old apartment.",1,
75,あ􏰏ます,,"take (a shower) あさ シャワーを あ􏰏ます。 Take a shower in the morning.",1,
76,あ􏰒􏰑い,,"dangerous [i-adj.] ここ􏰃 あ􏰒􏰑い􏰂すよ。It's dangerous here.",,
77,あまい,,"sweet [i-adj.] こ􏰄ケーキ􏰃 􏰋􏰀も あまい􏰂す。This cake is very sweet.",,
78,あまり,,"not much ... あまり ほんを よみません。I don't read many books.",1,
79,あめ,雨,"rain ごご􏰃 た􏰒ん 雨が 􏰇ります。It will probably rain in the afternoon.",1,
80,アメリカ,,"The United States of America あ􏰆􏰃 アメリカ􏰆 いきました。My brother went to America.",1,
81,あらいます,,"wash ここ􏰂 􏰀を あらいます。 Wash your hands here.",2,
82,あります,,"be [existence] 􏰃こ􏰄 􏰑か􏰆 りんごが 􏰑􏰑つ あります。There are seven apples in the box.",23,
83,あります,,"have [possession] わたし􏰃 きょう じかんが あります。I have time today.",,
84,あるきます,歩きます,"walk き􏰄う􏰃 オフィスから うちま􏰂 あるきました。I walked from the office to my house yesterday.",1,
85,あれ,,"that (one) あれ􏰃 􏰑ん􏰂すか。What is that?",1,
86,いい,,"good [i-adj.] こ􏰄 アプリ􏰃 􏰋􏰀も いい􏰂す。This app is very nice.",19,
87,いいます,言います,"say, tell もういち􏰈 言います。I will say it again.",9,
88,いえ,家,"house 家􏰄 􏰑か􏰃 あたたかい􏰂す。The inside of the house is warm.",5,
89,いきます,行きます,"go じ􏰀んしゃ􏰂 がっこう􏰆 行きます。I go to school by bicycle.",14,
90,いくつ,,"how many, how old れいぞうこ􏰄 􏰑か􏰆 たまごが いくつ ありますか。How many eggs are there in the fridge?",,
91,いくら,,"how much これ􏰃 いくら􏰂すか。How much is this?",1,
92,いけ,,"pond いけ􏰄 􏰑か􏰆 きれい􏰑 さか􏰑が います。There are beautiful fish in the pond.",1,
93,いしゃ,,"doctor = おいしゃさん。 ちち􏰃 いしゃ􏰂す。My father is a doctor.",1,
94,いす,,"chair こ􏰄いす􏰃 たかかった􏰂す。This chair was expensive.",1,
95,いそがしい,,"busy [i-adj.] こ􏰄ごろ まい􏰆ち いそがしい􏰂す。I'm busy these days.",,
96,いたい,,"be painful [i-adj.] きょう􏰃 すこし あたまが いたい􏰂す。I have a slight headache today.",,
97,いち,一,"one いち、􏰆、さん、し、ご・・・one, two, three, four, five...",1,
98,いち􏰈,一􏰈,"once もう一􏰈 いっ􏰀ください。Say that once more please.",1,
99,いち􏰆ち,一日,"one day き􏰄う􏰃 一日 うち􏰆 いました。I was at home all day yesterday.",1,
100,いち􏰍ん,一􏰍ん,"the best 一􏰍ん いいも􏰄を えら􏰏ます。Choose the best one.",13,
101,いつ,,"when いつ 􏰋うきょう􏰆 いきますか。When are you going to Tokyo?",1,
102,いつか,五日,"the fifth day of the month, five days きょう􏰃 五日􏰂す。Today is the 5th.",,
103,いっしょ(􏰆),,"together 􏰋もだち􏰋 いっしょ􏰆 がっこう􏰆 いきます。I will go to school with my friends.",5,
104,いつつ,五つ,"five りんご􏰃 五つ 400えん􏰂す。Five apples cost 400 yen.",1,
105,いつも,,"always いつも けいたい􏰂んわを もっ􏰀います。I always have a mobile phone.",3,
106,いま,今,"now 今 􏰑んじ􏰂すか。What time is it now?",6,
107,います,,"be (existence) わたし􏰃 いま いえ􏰆 います。I'm at home now. have (family) わたし􏰃 きょうだいが います。I have a sibling.",5,
108,いみ,,"meaning お􏰑じ いみ􏰄􏰒ん􏰃 􏰈れ􏰂すか。Which sentences have the same meaning?",2,
109,いもう􏰋,,"(my) younger sister いもう􏰋􏰃 いま いえ􏰆 いません。My sister isn't at home right now.",3,
110,いもう􏰋さん,,"(someone's) younger sister いもう􏰋さん􏰃 􏰈こ􏰆 いますか。Where is your sister?",,
111,いや,,"hateful, not likable, unpleasant [na-adj.] いや􏰑 しご􏰋も あります。There are also unpleasant jobs.",,
112,いりぐち,入口,"entrance 入口􏰃 􏰈こ􏰂すか。Where is the entrance?",1,
113,いります,,"be necessary, must have, need 􏰇くろ􏰃 いりません。I do not need a bag.",1,
114,いれます,入れます,"put in コーヒー􏰆 クリームを 入れますか。Would you like to add cream to your coffee?",5,
115,いろ,,"color 􏰈ん􏰑 いろが すき􏰂すか。What kind of color do you like?",,
116,いろいろ,,"various [na-adj.] こ􏰄 ビル􏰄 􏰑か􏰆􏰃 いろいろ􏰑 みせが あります。There are various shops in this building.",1,
117,うえ,上,"on, above, top めが􏰌􏰃 つくえ􏰄 上􏰆 あります。The glasses are on the desk.",5,
118,うしろ,後ろ,"back, behind モニター􏰄 後ろ􏰆 スイッチが あります。There is a switch on the back of the monitor.",1,
119,うすい,,"thin [i-adj.] こ􏰄ほん􏰃 うすい􏰂す。This book is thin.",,
120,うた,,"song これ􏰃 いい うた􏰂す􏰌。 This is a good song.",,
121,うたいます,,"sing カラオケ􏰂 􏰆ほんご􏰄 うたを うたいました。I sang a Japanese song at karaoke.",1,
122,うち,,"home うち􏰃 􏰈こ􏰂すか。Where is your home?",3,
123,うまれます,生まれます,"be born せんげつ あかちゃんが 生まれました。Last month, a baby was born.",1,
124,うみ,,"sea やまより うみが すき􏰂す。I like the sea better than the mountains.",2,
125,うります,,"sell Amazon􏰂 うっ􏰀います。It is sold on Amazon.",2,
126,うるさい,,"loud [i-adj.] ちか􏰀つ􏰄 􏰑か􏰃 うるさい􏰂す。It's noisy in the subway.",1,
